Menu_Price_ID,Restaurant_ID,Product_ID,Price,Portion_Size,Serving_Unit,Dish_rating,Menu_Type,Source_URL,Price_Date,Fetch_Time,Source_System,Price_Validation_Status
M000001,R0001,P0001,249.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25 00:00:00,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000002,R0001,P0002,249.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000003,R0001,P0003,289.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000004,R0001,P0005,30.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000005,R0001,P0006,60.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000006,R0001,P0007,70.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000007,R0002,P0008,119.0,1,Thali,4.1,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000008,R0002,P0009,142.0,1,Thali,3.3,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000009,R0002,P0010,179.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000010,R0002,P0011,220.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000011,R0002,P0012,179.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000012,R0002,P0013,189.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000013,R0002,P0014,240.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000014,R0002,P0042,189.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000015,R0002,P0015,179.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000016,R0002,P0016,209.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000017,R0003,P0010,150.0,1,Serving,4.5,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000018,R0003,P0017,80.0,1,Serving,4.4,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000019,R0003,P0018,119.0,1,Serving,3.3,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000020,R0003,P0013,125.0,1,Serving,4.2,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000021,R0003,P0019,170.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000022,R0004,P0001,300.0,1,Serving,4.3,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000023,R0004,P0020,300.0,1,Serving,4.0,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000024,R0004,P0021,340.0,1,Serving,5.0,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000025,R0004,P0022,285.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000026,R0004,P0023,400.0,1,Serving,4.0,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000027,R0004,P0024,385.0,1,Serving,5.0,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000028,R0004,P0011,300.0,1,Serving,4.2,Delivery,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000029,R0005,P0026,251.0,1,Thali,4.4,Delivery,https://www.swiggy.com/city/ahmedabad/sorath-suddh-kathiyawadi-restaurant-gota-jagatpur-rest157685,2026-08-25 00:00:00,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000030,R0006,P0021,160.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000031,R0006,P0014,160.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000032,R0006,P0011,160.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000033,R0006,P0004,160.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000034,R0006,P0027,160.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000035,R0006,P0041,160.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000036,R0007,P0009,180.0,1,Thali,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000037,R0007,P0014,140.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000038,R0007,P0028,230.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000039,R0007,P0042,210.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000040,R0007,P0029,45.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000041,R0007,P0006,65.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
M000042,R0008,P0011,240.0,1,Serving,4.1,Delivery,https://www.swiggy.com/city/ahmedabad/kathyawadi-chatako-vastrapur-rest570833,2026-08-25,2026-09-11T16:26:46.117098+00:00,kathiyawadi_seed_workbook,ok
