Menu_Price_ID,Restaurant_ID,Product_ID,Price,Portion_Size,Serving_Unit,Dish_rating,Menu_Type,Source_URL,Price_Date,Fetch_Time,Source_System,Price_Validation_Status
M000001,R0001,P0001,249.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25 00:00:00,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000002,R0001,P0002,249.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000003,R0001,P0003,289.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000004,R0001,P0005,30.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000005,R0001,P0006,60.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000006,R0001,P0007,70.0,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000007,R0002,P0008,119.0,1,Thali,4.1,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000008,R0002,P0009,142.0,1,Thali,3.3,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000009,R0002,P0010,179.0,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000010,R0002,P0011,220.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000011,R0002,P0012,179.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000012,R0002,P0013,189.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000013,R0002,P0014,240.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000014,R0002,P0042,189.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000015,R0002,P0015,179.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000016,R0002,P0016,209.0,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000017,R0003,P0010,150.0,1,Serving,4.5,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000018,R0003,P0017,80.0,1,Serving,4.4,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
M000019,R0003,P0018,119.0,1,Serving,3.3,Delivery,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,2026-08-25,2026-09-20T15:33:04.623015+00:00,kathiyawadi_seed_workbook,ok
