Product_ID,Dish_Name,Food_Category,Sub_Category,Cuisine_Type,Cooking_Medium
P0001,Ringan Bharta,Sabzi,Ringan,Kathiyawadi,
P0002,Mix Green Veggies,Sabzi,Mix Veg,Kathiyawadi,
P0003,Bharela Dungri,Sabzi,Dungri,Kathiyawadi,
P0004,Lasaniya Bateta,Sabzi,Bateta,Kathiyawadi,
P0005,Plain Roti,Bread,Roti,Kathiyawadi,
P0006,Bajra Rotla,Bread,Rotla,Kathiyawadi,
P0007,Garlic Rotlo,Bread,Rotla,Kathiyawadi,
P0008,Gujarati Thali,Thali,Thali,Kathiyawadi,
P0009,Kathiyawadi Thali,Thali,Thali,Kathiyawadi,
P0010,Gujarati Dal Rice,Rice,Dal Rice,Kathiyawadi,
P0011,Sev Tameta,Sabzi,Sev,Kathiyawadi,
P0012,Dal Khichdi,Khichdi,Khichdi,Kathiyawadi,
P0013,Dal Fry,Dal,Dal,Kathiyawadi,
P0014,Dahi Tikhari,Sabzi,Dahi,Kathiyawadi,
P0015,Plain Khichdi,Khichdi,Khichdi,Kathiyawadi,
P0016,Palak Khichdi,Khichdi,Khichdi,Kathiyawadi,
P0017,Plain Rice,Rice,Rice,Kathiyawadi,
P0018,Jeera Rice,Rice,Rice,Kathiyawadi,
P0019,Kathiyawadi Pulao Kadhi,Rice,Rice,Kathiyawadi,
P0020,Bataka Suki Bhaji,Sabzi,Bateta,Kathiyawadi,
P0021,Bharela Ringan,Sabzi,Ringan,Kathiyawadi,
P0022,Dahi Bhindi,Sabzi,Bhindi,Kathiyawadi,
P0023,Kaju Gathiya,Sabzi,Kaju,Kathiyawadi,
P0024,Kaju Karela,Sabzi,Karela,Kathiyawadi,
P0025,Sev Lasuniya,Sabzi,Sev,Kathiyawadi,
P0026,Kathiyawadi Fix Thali,Thali,Thali,Kathiyawadi,
P0027,Rajwadi Kichadi,Sabzi,kichadi,Kathiyawadi,
P0028,Vagharelo Rotlo,Bread,Rotla,Kathiyawadi,
P0029,Bhakhri,Bread,Bhakhri,Kathiyawadi,
P0030,Khichdi Ghee,Khichdi,Khichdi,Kathiyawadi,Ghee
P0031,Thepla,Bread,Thepla,Kathiyawadi,Oil
P0032,Thepla Ghee,Bread,Thepla,Kathiyawadi,Ghee
P0033,Roti Ghee,Bread,Roti,Kathiyawadi,Ghee
P0034,Paratha Ghee,Bread,Paratha,Kathiyawadi,Ghee
P0035,Bajra Rotla Ghee,Bread,Rotla,Kathiyawadi,Ghee
P0036,Ringan No Odo,Sabzi,Ringan,Kathiyawadi,
P0037,Undhiyu,Sabzi,Mix Veg,Kathiyawadi,
P0038,Totha,Sabzi,Totha,Kathiyawadi,
P0039,Bharela Karela,Sabzi,Karela,Kathiyawadi,
P0040,Kadhi,Kadhi,Kadhi,Kathiyawadi,
P0041,Lasaniya Palak,Sabzi,Palak,Kathiyawadi,
P0042,Masala Khichdi,Khichdi,Khichdi,Kathiyawadi,
P0043,Bajra No Rotlo,Main Course,Kathiyawadi,Kathiyawadi,
P0044,Bajra Rotla Makhan,Main Course,Kathiyawadi,Kathiyawadi,
P0045,Chaas Bottle,Main Course,Kathiyawadi,Kathiyawadi,
P0046,Executive Kathiyawadi Thali,Main Course,Kathiyawadi,Kathiyawadi,
P0047,Ghee Gud Bajra Rotlo,Main Course,Kathiyawadi,Kathiyawadi,
P0048,Makhan Bajra Rotlo,Main Course,Kathiyawadi,Kathiyawadi,
P0049,Masala Chaas,Main Course,Kathiyawadi,Kathiyawadi,
P0050,Rajwadi Khichdi Kadhi,Main Course,Kathiyawadi,Kathiyawadi,
P0051,Sev Dungri,Main Course,Kathiyawadi,Kathiyawadi,
P0052,Sev Tameta Nu Shaak,Main Course,Kathiyawadi,Kathiyawadi,
P0053,Special Gujarati Thali,Main Course,Kathiyawadi,Kathiyawadi,
P0054,Special Ringan Oro,Main Course,Kathiyawadi,Kathiyawadi,
P0055,Traditional Gujarati Kathiyawadi Thali,Main Course,Kathiyawadi,Kathiyawadi,
P0056,Unlimited Kathiyawadi Thali,Main Course,Kathiyawadi,Kathiyawadi,
P0057,Vaghareli Khichdi Kadhi,Main Course,Kathiyawadi,Kathiyawadi,
