Restaurant_ID,Restaurant_Name,City,Area,Restaurant_Type,Cuisine,Restaurant_Rating,Review_Count,Price_Range,Source_URL,Source_System,Source_Record_ID,Fetch_Time,Match_Confidence,Latitude,Longitude
R0001,Shree Khodiyar Kathiyawadi Dhaba,Ahmedabad,Naranpura,Dhaba,Kathiyawadi,4.1,11.0,₹500 for two,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,kathiyawadi_seed_workbook,seed_R001,2026-09-21T17:55:48.311016+00:00,100.0,23.052,72.553
R0002,Om Kathiyawadi Dhaba,Ahmedabad,Prahlad Nagar,Dhaba,Kathiyawadi,4.3,200.0,₹300 for two,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,kathiyawadi_seed_workbook,seed_R002,2026-09-21T17:55:48.311016+00:00,100.0,23.012,72.51
R0003,Shree Chamunda Kathiyawadi Dhaba,Ahmedabad,Chandkheda,Dhaba,Kathiyawadi,4.2,387.0,₹250 for two,https://www.swiggy.com/city/ahmedabad/shree-chamunda-kathiyawadi-dhaba-chandkheda-rest666917,kathiyawadi_seed_workbook,seed_R003,2026-09-21T17:55:48.311016+00:00,100.0,23.111,72.585
R0004,Shree Marutinandan Kathiyawadi Restaurant,Ahmedabad,Shahpur,Casual Dining,Kathiyawadi,4.3,202.0,₹400 for two,https://www.swiggy.com/city/ahmedabad/shree-marutinandan-kathiyawadi-restaurant-shahpur-rest787611,kathiyawadi_seed_workbook,seed_R004,2026-09-21T17:55:48.311016+00:00,100.0,23.038,72.58
R0005,Sorath Suddh Kathiyawadi Restaurant,Ahmedabad,Gota,Pure Veg Restaurant,Kathiyawadi,4.5,855.0,₹300 for two,https://www.swiggy.com/city/ahmedabad/sorath-suddh-kathiyawadi-restaurant-gota-jagatpur-rest157685,kathiyawadi_seed_workbook,seed_R005,2026-09-21T17:55:48.311016+00:00,100.0,23.103,72.535
R0006,Damodar Kathiyawadi,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,4.9,29.0,₹300 for two,https://www.swiggy.com/city/ahmedabad/damodar-kathiyawadi-vastrapur-rest1408681,kathiyawadi_seed_workbook,seed_R006,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.528
R0007,Gir Kathiyawadi Restaurant,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,4.1,66.0,₹250 for two,https://www.swiggy.com/city/ahmedabad/gir-kathiyawadi-restaurant-vastrapur-rest1113553,kathiyawadi_seed_workbook,seed_R007,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.528
R0008,Kathyawadi Chatako,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,3.9,386.0,₹500 for two,https://www.swiggy.com/city/ahmedabad/kathyawadi-chatako-vastrapur-rest570833,kathiyawadi_seed_workbook,seed_R008,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.528
R0009,Mr And Mrs Kathiyawadi,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,5.0,98.0,₹500 for two,https://www.swiggy.com/city/ahmedabad/mr-and-mrs-kathiyawadi-vastrapur-rest1391742,kathiyawadi_seed_workbook,seed_R009,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.528
R0010,Rudu Kathiawad,Ahmedabad,Vastrapur,Pure Veg Restaurant,Kathiyawadi,3.8,3300.0,₹200 for two,https://www.swiggy.com/city/ahmedabad/rudu-kathiawad-vastrapur-rest99672,kathiyawadi_seed_workbook,seed_R010,2026-09-21T17:55:48.311016+00:00,100.0,23.035,72.528
