Restaurant_Name,City,Area,Restaurant_Type,Cuisine,Restaurant_Rating,Review_Count,Price_Range,Dish_Name,Price,Portion_Size,Serving_Unit,Menu_Type,Source_URL
Radhe Kathiyawadi Dhaba,Gandhinagar,Kudasan,Dhaba,Kathiyawadi,4.4,620,₹300 for two,Kathiyawadi Thali,190,Regular,Plate,Full Meal,https://www.swiggy.com/city/gandhinagar/radhe-kathiyawadi-dhaba-kudasan
Radhe Kathiyawadi Dhaba,Gandhinagar,Kudasan,Dhaba,Kathiyawadi,4.4,620,₹300 for two,Ringan No Oro,160,Regular,Bowl,Main Course,https://www.swiggy.com/city/gandhinagar/radhe-kathiyawadi-dhaba-kudasan
Radhe Kathiyawadi Dhaba,Gandhinagar,Kudasan,Dhaba,Kathiyawadi,4.4,620,₹300 for two,Bajra No Rotlo,50,Regular,Piece,Breads,https://www.swiggy.com/city/gandhinagar/radhe-kathiyawadi-dhaba-kudasan
Radhe Kathiyawadi Dhaba,Gandhinagar,Kudasan,Dhaba,Kathiyawadi,4.4,620,₹300 for two,Sev Tameta,150,Regular,Bowl,Main Course,https://www.swiggy.com/city/gandhinagar/radhe-kathiyawadi-dhaba-kudasan
Toran Dining Hall,Gandhinagar,Sector 11,Casual Dining,Gujarati / Kathiyawadi,4.6,1840,₹550 for two,Special Gujarati Thali,280,Unlimited,Thali,Full Meal,https://www.zomato.com/gandhinagar/toran-dining-hall-sector-11
Toran Dining Hall,Gandhinagar,Sector 11,Casual Dining,Gujarati / Kathiyawadi,4.6,1840,₹550 for two,Kathiyawadi Combo Thali,240,Regular,Thali,Full Meal,https://www.zomato.com/gandhinagar/toran-dining-hall-sector-11
Toran Dining Hall,Gandhinagar,Sector 11,Casual Dining,Gujarati / Kathiyawadi,4.6,1840,₹550 for two,Masala Chaas,35,Glass,Glass,Beverage,https://www.zomato.com/gandhinagar/toran-dining-hall-sector-11
Tulsi Kathiyawadi Restaurant,Gandhinagar,Sargasan,Pure Veg Restaurant,Kathiyawadi,4.3,950,₹350 for two,Lasaniya Bataka,140,Regular,Bowl,Main Course,https://www.swiggy.com/city/gandhinagar/tulsi-kathiyawadi-sargasan
Tulsi Kathiyawadi Restaurant,Gandhinagar,Sargasan,Pure Veg Restaurant,Kathiyawadi,4.3,950,₹350 for two,Sev Tameta,150,Regular,Bowl,Main Course,https://www.swiggy.com/city/gandhinagar/tulsi-kathiyawadi-sargasan
Tulsi Kathiyawadi Restaurant,Gandhinagar,Sargasan,Pure Veg Restaurant,Kathiyawadi,4.3,950,₹350 for two,Vagharelo Rotlo,160,Regular,Plate,Specialty,https://www.swiggy.com/city/gandhinagar/tulsi-kathiyawadi-sargasan
Tulsi Kathiyawadi Restaurant,Gandhinagar,Sargasan,Pure Veg Restaurant,Kathiyawadi,4.3,950,₹350 for two,Rajwadi Khichdi Kadhi,170,Regular,Bowl,Main Course,https://www.swiggy.com/city/gandhinagar/tulsi-kathiyawadi-sargasan
