Menu_Price_ID,Restaurant_ID,Product_ID,Price,Portion_Size,Serving_Unit,Dish_rating,Menu_Type,Source_URL,Price_Date
MP001,R001,P001,249,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25 00:00:00
MP002,R001,P002,249,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25
MP003,R001,P003,289,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25
MP004,R001,P005,30,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25
MP005,R001,P006,60,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25
MP006,R001,P007,70,1,Plate,,Delivery,https://www.swiggy.com/city/ahmedabad/shree-khodiyar-kathiyawadi-dhaba-naranpura-rest1231583,2026-08-25
MP007,R002,P008,119,1,Thali,4.1,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP008,R002,P009,142,1,Thali,3.3,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP009,R002,P010,179,1,Serving,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP010,R002,P011,220,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP011,R002,P012,179,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP012,R002,P013,189,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP013,R002,P014,240,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP014,R002,P042,189,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP015,R002,P015,179,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
MP016,R002,P016,209,400,Gm,,Delivery,https://www.swiggy.com/city/ahmedabad/om-kathiyawadi-dhaba-prahlad-nagar-rest946578,2026-08-25
